username, created_at, lng, lat, text
AlvarezImaging, Wed Apr 22 06:13:05 +0000 2020, -83.804475, 27.698682, @SeanOfriel At this point, anyone shading the only available remedy to Trump's incompetence is viewed skeptically.… https://t.co/3mSR39eATY
LAangel_Camilla, Wed Apr 22 06:13:12 +0000 2020, -118.411907, 34.020789, @SarahHuckabee @RealJamesWoods LIARS! @SpeakerPelosi is FIGHTING to make sure SMALL BUSINESS gets their money since… https://t.co/Qpj1QwhT5u
jittomama, Wed Apr 22 06:13:18 +0000 2020, -93.361321, 46.441861, Donald Trump
BenVanRossum1, Wed Apr 22 06:13:30 +0000 2020, 6.564774, 53.221741, Trump was talking about the vote was rigged b4 the first vote was in.He himself did't believe he would win&amp;iff U ha… https://t.co/q2YD5w9oW9
CarolynGene, Wed Apr 22 06:13:38 +0000 2020, -104.775030, 37.629269, @thehill   Me to   They should pay it back !
RenoNVSparky, Wed Apr 22 06:13:53 +0000 2020, -119.827182, 39.512436, Oh give me a fucking break.
L70OZ, Wed Apr 22 06:14:02 +0000 2020, -115.038337, 36.006256, @JoseColinaP @ananiasjupiter Este individuo lo que hace es hablar idioteces de nuestro principal aliado, el único q… https://t.co/Xb6NpHnGXM
damienrecords, Wed Apr 22 06:14:26 +0000 2020, -100.076888, 31.168893, @realDonaldTrump@BuckSexton@SpeakerPelosiPelosi Promises to Resign if Trump is Re-Elected https://t.co/cn16S9Z4qq via @Portal American
TSFRadio, Wed Apr 22 06:14:32 +0000 2020, -9.099043, 38.747518, Trump deseja as melhoras a Kim Jong-un por alegados problemas de saúde https://t.co/OkwHqXN3tX Em… https://t.co/MAHN6uuK5i
lovettsusan62, Wed Apr 22 06:14:36 +0000 2020, -84.539813, 39.137038, @realDonaldTrump Mr.President TrumpYou are doing great ,job sir.The Democratic party is trying to impeach you aga… https://t.co/yYbRgpFhMa
DbAshby, Wed Apr 22 06:14:37 +0000 2020, -2.233480, 53.456952, @KatyJane_101 Considering what Trump has said about his daughter in the past it is no surprise they're screwed up
GingerSottile, Wed Apr 22 06:14:47 +0000 2020, -79.837322, 32.847947, #MurdererInChief
mike_hardman, Wed Apr 22 06:15:02 +0000 2020, 100.695176, 13.624057, In Trump's America they put money before lives and are willing to sacrifice the weak so "the strongest " can go to… https://t.co/4a43iGt4sw
RickHammerly, Wed Apr 22 06:15:17 +0000 2020, -77.014398, 38.898603, #COVIDIOTS on parade!
Buby43560045, Wed Apr 22 06:15:22 +0000 2020, -68.849751, -32.930143, @PPTenel13 Bueno, eso hace una democracia pura, te advierte, te muestra, ahora si vos sales o no sigues un protocol… https://t.co/GvuS4flrpB
guy_ste, Wed Apr 22 06:15:38 +0000 2020, 6.133299, 49.815490, Mafioso Trump macht dichtWegen der Coronakrise setzt Donald Trump alle Greencard-Genehmigungen aus - historisch be… https://t.co/Jaq3aKQEdm
mike_hardman, Wed Apr 22 06:15:50 +0000 2020, 100.695176, 13.624057, #Prison4InsiderTraders#NegligentHomicide#TrumpGenocide #TrumpResignNow #TrumpLiesAmericansDie… https://t.co/6pZEtDfBUk
BenVanRossum1, Wed Apr 22 06:15:53 +0000 2020, 6.564774, 53.221741, FIRE TRUMP NOT FAUCCI.#TrumpPandemicFailure
DavefromFlint, Wed Apr 22 06:15:53 +0000 2020, -83.725610, 42.994459, @CNN Don't use it because CNN is afraid you will live and vote for President Trump, CNN would rather have you dead than a Trump voter.
DebraHo25101890, Wed Apr 22 06:16:02 +0000 2020, -88.161555, 30.683649, This = DeepState's #1 TACTIC.They ACCUSE Trump, others...of the LIES &amp; CORRUPTION 4WHICH THEY THEMSELVES ARE GUIL… https://t.co/32RlUk7edH
mz_apri, Wed Apr 22 06:16:43 +0000 2020, -87.732013, 41.833585, That Orange Man Just Slow 🤣😭
JeriKMiller1, Wed Apr 22 06:16:44 +0000 2020, -89.569491, 44.900818, Not every choice or action by people is black n white, lots o grey area. In Trump's case, its all about himself. Re… https://t.co/RKnUwkP8jI
swanny72, Wed Apr 22 06:16:52 +0000 2020, -122.096397, 47.992142, @jonkarl question sir. I saw you on the 11th hr last night. Great info. I noticed the baseballs you have on your sh… https://t.co/RI4yZZnNim
marevegan, Wed Apr 22 06:17:11 +0000 2020, -83.804475, 27.698682, Hey, now! Florida is not that bad! What about Texas? I think he's more the Texas of Presidents!
VanceKosloff, Wed Apr 22 06:17:12 +0000 2020, -80.846785, 35.209059, @AKA_RealDirty I'm beginning to believe that the democrats and the drive by media did all this in another attempt t… https://t.co/bYghSjrdF8
machonejack, Wed Apr 22 06:17:20 +0000 2020, -85.722346, 38.195555, Remember folks these trump puppets not even journalists are paid big bucks to push out right lies fake propaganda c… https://t.co/OutVHBw5rI
nicholasvirzi, Wed Apr 22 06:17:24 +0000 2020, -90.224221, 15.772468, Tanto les importaban las investigaciones contra Trump.  Bellezas de argumentos legales que daban. Ahora nada que de… https://t.co/9UjdVanQL6
srigop8, Wed Apr 22 06:17:34 +0000 2020, -77.014398, 38.898603, A must read. How Mitch McConnell Became Trump’s Enabler-in-Chief https://t.co/ACLSi0uRIa via @NewYorker
BenrogersBen, Wed Apr 22 06:18:32 +0000 2020, -115.038337, 36.006256, TRUMP!
